Date,Open,High,Low,Close,Volume,Symbol,Asset_Type,Data_Source,Download_Date,Adj_Close,Source,Transform_Date,Data_Start_Date,Data_End_Date,Record_Count,Data_Quality_Score,YFinance_Version,Exchange,Trading_Pair
2021-06-28,1967.55,2144.46,1965.5,2103.94,67718822.31051698,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-27,1882.36,1998.0,1807.51,1967.55,28044896.94553478,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-26,1819.78,1889.0,1718.96,1882.36,52783156.11612141,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-25,1979.23,2049.99,1792.0,1819.78,58437276.26199709,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-24,1907.7,1997.0,1907.7,1979.23,4448.11754354,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-23,2013.18,2013.18,1884.63,1907.7,28408736.842396032,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-22,1975.32,2034.51,1700.0,2013.18,169707061.75889438,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-21,2156.31,2160.83,1859.75,1975.32,176496720.8726306,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-20,2184.45,2277.48,2042.76,2156.31,46202896.06172465,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-19,2189.68,2278.11,2143.24,2184.45,30143803.636185423,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-18,2341.47,2368.84,2139.62,2189.68,92940118.78366418,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-17,2434.08,2460.86,2305.62,2341.47,66820260.18881907,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-16,2523.51,2523.51,2350.01,2434.08,14316296.18170113,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-15,2588.18,2640.0,2501.29,2523.51,44679277.80422866,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-14,2480.11,2625.8,2462.0,2588.18,61228158.53899679,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-13,2336.26,2549.98,2310.0,2480.11,39231146.34281919,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-12,2302.61,2454.47,2277.05,2336.26,36184560.10687121,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-11,2466.79,2489.77,2259.0,2302.61,60623595.43583008,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-10,2563.86,2605.41,2404.85,2466.79,58883554.30893259,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-09,2457.75,2631.67,2457.75,2563.86,29275785.785569284,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-08,2492.28,2559.44,2305.01,2457.75,116391377.34856115,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
2021-06-07,2767.65,2849.99,2430.0,2492.28,93066375.41114308,ETH,crypto,Gemini Exchange,2025-04-05,,,,,,,,,Gemini,ETHUSD
